target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
30,5,2.5,1.5,500p,ok,False,108.99693135853283,29.990380546284772,29.7063339935612,33.32516481049321,I30_L5_on2.5_off1.5_500p_search,
30,5,3.0,1.0,500p,ok,False,113.49884944121058,29.982698706522523,29.69351102131213,33.303290631874724,I30_L5_on3_off1_500p_search,
30,5,3.5,0.5,500p,ok,False,112.96255016609413,29.97504965922992,29.680858324161445,33.28125079505582,I30_L5_on3.5_off0.5_500p_search,
30,5,0.5,4.0,500p,ok,False,114.8005162318,30.021691900894794,29.765326672506124,33.41961404045445,I30_L5_on0.5_off4_500p_search,
30,5,1.0,3.5,500p,ok,False,109.39403752610822,30.013754759873564,29.751756633806753,33.39679754148026,I30_L5_on1_off3.5_500p_search,
30,5,1.5,3.0,500p,ok,False,104.80302703279389,30.00589489317549,29.738310510782,33.37459139351792,I30_L5_on1.5_off3_500p_search,
30,5,2.0,2.5,500p,ok,True,92.41025610231252,29.998110019646013,29.72496083673267,33.349100202266776,I30_L5_on2_off2.5_500p_search,
30,5,2.0,2.5,250p,ok,False,102.35465774284089,29.998145933984368,29.72500043622935,33.35279754601699,I30_L5_on2_off2.5_250p_verification,
30,5,2.5,2.0,500p,ok,False,100.33280966050852,29.990381498229063,29.711734750656365,33.330559692271564,I30_L5_on2.5_off2_500p_search,
30,5,3.0,1.5,500p,ok,False,105.5817466674719,29.982698528453877,29.698663040154454,33.308395126129525,I30_L5_on3_off1.5_500p_search,
30,5,3.5,1.0,500p,ok,False,107.38113352426213,29.975049020866745,29.685743594132934,33.28615655350532,I30_L5_on3.5_off1_500p_search,
30,5,4.0,0.5,500p,ok,False,109.984096833486,29.967432128944644,29.673092559616794,33.26376244730246,I30_L5_on4_off0.5_500p_search,
30,5,0.5,4.5,500p,ok,False,118.90859065246079,30.021691937024215,29.770969659743567,33.425154349277655,I30_L5_on0.5_off4.5_500p_search,
